Predictor variable,Categorical,Sample average
Var1,false,-5.95286893282126
Var10,false,10.708588402251142
Var11,false,-21.991460255719094
Var12,false,458.7110410596026
Var13,false,69.83560264900662
Var14,false,17.956593377483443
Var15,false,50.2261257061603
Var16,false,186.6997774834437
Var17,false,61.16675496688742
Var18,false,174.93106225165562
Var19,false,76.82180132450331
Var2,false,9.226703847985831
Var3,false,20.80981538737189
Var4,false,1345.4928207402004
Var5,false,17.738517127719426
Var6,false,-27.72131768968099
Var7,false,45.4598348212856
Var8,false,9.09631882229966
Var9,false,-17.273195552612556
