Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.64818E-6,13.500069409,0.249387852,0.105700987,0.052642781,0.052362708
2.69588E-6,13.750116583,0.253256443,0.104542648,0.054061724,0.052788421
2.74521E-6,14.000180173,0.257236593,0.103405346,0.055551614,0.053852703
2.79684E-6,14.250090312,0.261378946,0.102289083,0.057230696,0.055129842
2.84043E-6,14.500045193,0.264858377,0.101191382,0.058933428,0.055981269
2.88774E-6,14.750007999,0.268616183,0.100111008,0.060399669,0.056406982
2.93547E-6,15.000044839,0.272388437,0.099047958,0.061724016,0.057684121
2.98151E-6,15.250049394,0.276008274,0.098002235,0.063072011,0.060025543
3.02924E-6,15.500085355,0.279741509,0.0969726,0.064916637,0.061941252
3.07883E-6,15.750205436,0.283600507,0.095959052,0.066406527,0.063431247
3.1271E-6,16.000020935,0.287337044,0.09496283,0.067896417,0.06385696
3.17928E-6,16.250048446,0.291353939,0.093981459,0.069197115,0.064708387
3.22899E-6,16.50003456,0.295159271,0.093016176,0.07080525,0.065985526
3.2811E-6,16.750037824,0.299126782,0.092065743,0.072531631,0.067901235
3.33451E-6,17.000123827,0.303170141,0.091130161,0.073832328,0.069816943
3.38732E-6,17.250160766,0.307145367,0.090209429,0.075369516,0.070881226
3.43761E-6,17.500317126,0.310909235,0.089302311,0.076977652,0.071732652
3.49151E-6,17.750135024,0.314921125,0.088410042,0.078372945,0.073009791
3.54163E-6,18.000130439,0.318630748,0.08753015,0.080454062,0.074712644
3.59497E-6,18.250213032,0.322556202,0.086662632,0.08199125,0.075776926
3.6476E-6,18.500343355,0.326407477,0.08580749,0.083670332,0.077905492
3.70057E-6,18.750186272,0.330261318,0.084965961,0.085609554,0.078756918
3.75408E-6,19.000281558,0.33413264,0.08413557,0.087572425,0.079395487
3.80975E-6,19.25025154,0.338135847,0.083317555,0.089062315,0.08109834
3.86301E-6,19.500005911,0.341943369,0.082511914,0.090835994,0.083014049
3.91948E-6,19.750248656,0.345956259,0.081716175,0.092491427,0.084929757
3.97103E-6,20.000318662,0.349599009,0.080931573,0.094241457,0.08663261
4.02802E-6,20.250260003,0.35360194,0.080158108,0.096204328,0.089399745
4.08523E-6,20.500106168,0.357595433,0.079395782,0.098025304,0.091315453
4.14295E-6,20.750237268,0.361599271,0.078643356,0.100106421,0.094082588
4.20202E-6,21.000091443,0.365671114,0.077902068,0.102069292,0.09642401
4.25705E-6,21.250017082,0.369441673,0.077170681,0.10410311,0.097701149
4.31156E-6,21.500180921,0.373153459,0.076447956,0.105853139,0.098765432
4.37182E-6,21.75021445,0.377232541,0.075735131,0.108288991,0.102171137
4.43038E-6,22.000196576,0.381170154,0.075032207,0.110370108,0.104512559
4.49277E-6,22.250072594,0.38533848,0.074339183,0.112640416,0.105789698
4.5551E-6,22.500221399,0.389474941,0.073654822,0.115383706,0.108343976
4.62165E-6,22.750346949,0.39386006,0.072980361,0.117914154,0.110259685
4.68412E-6,23.000127129,0.397948603,0.072315801,0.120160814,0.113239676
4.74785E-6,23.250034259,0.402090029,0.071659903,0.122809507,0.115581098
4.81271E-6,23.500079866,0.406276398,0.071012669,0.125481849,0.11792252
4.8803E-6,23.750118782,0.410607557,0.070374097,0.128106894,0.120476799
4.94471E-6,24.000095237,0.414705959,0.069744188,0.130873832,0.122605364
5.00924E-6,24.250434586,0.418783085,0.069121704,0.133546175,0.124946786
5.07591E-6,24.500037087,0.422965515,0.06850912,0.136171219,0.128139634
5.14678E-6,24.750397297,0.427378117,0.067902724,0.13912735,0.130268199
5.21207E-6,25.000044383,0.431414042,0.067306229,0.142012534,0.133248191
5.28073E-6,25.250268509,0.435627242,0.066715921,0.144779473,0.137292465
5.3486E-6,25.500011946,0.439761044,0.066134276,0.147711955,0.138782461
5.41557E-6,25.750318132,0.443810869,0.065558819,0.150620788,0.141975309
5.48287E-6,26.000447799,0.447851105,0.064990786,0.153364077,0.145806726
5.54782E-6,26.250337957,0.45172233,0.06443018,0.155941823,0.148361005
5.61231E-6,26.500371717,0.455538824,0.063875761,0.15875606,0.152192422
5.68687E-6,26.750074733,0.459919037,0.063328767,0.161381104,0.155598127
5.7541E-6,27.000570259,0.46383788,0.062786723,0.164644673,0.158790975
5.82574E-6,27.250131284,0.467982293,0.062253342,0.167553506,0.160706684
5.8993E-6,27.500406134,0.472205237,0.061724912,0.171029916,0.162622393
5.96678E-6,27.750227029,0.476049287,0.061203906,0.174127941,0.166666667
6.03558E-6,28.000361307,0.47993944,0.060687851,0.177580702,0.168582375
6.10603E-6,28.250472909,0.483893464,0.060177983,0.180986165,0.172839506
6.18309E-6,28.500532405,0.488183774,0.059674304,0.18410784,0.176032354
6.25954E-6,28.750114178,0.492404469,0.059178049,0.187063971,0.179438059
6.33256E-6,29.000594442,0.496403863,0.058685507,0.19056403,0.181992337
6.40209E-6,29.250136646,0.500182991,0.05820039,0.193874897,0.186888037
6.46952E-6,29.500502381,0.503820183,0.057718986,0.197091167,0.189442316
6.5396E-6,29.75031008,0.507572918,0.05724377,0.20049663,0.192422307
6.62277E-6,30.000293894,0.511989588,0.056773504,0.20423318,0.195402299
6.70066E-6,30.250074863,0.516089745,0.056309425,0.207638643,0.198595147
6.77509E-6,30.500069342,0.519975605,0.055850297,0.211020456,0.204980843
6.85479E-6,30.750261319,0.524102053,0.055396119,0.214780655,0.207535121
6.93592E-6,31.0006586,0.528266125,0.054946891,0.218659099,0.210940826
7.01076E-6,31.250310605,0.532075117,0.054503851,0.222253754,0.215197957
7.08593E-6,31.500572079,0.535870049,0.054064523,0.226226794,0.219029374
7.17177E-6,31.750070085,0.540165636,0.053631383,0.230152536,0.222435079
7.24567E-6,32.000289751,0.543831964,0.053201956,0.233865437,0.228395062
7.3188E-6,32.250072121,0.547431542,0.052777479,0.237743881,0.233503619
7.39162E-6,32.500118016,0.550987715,0.052356714,0.241716921,0.236696467
7.46159E-6,32.75036942,0.554377986,0.051939662,0.245169682,0.240740741
7.53207E-6,33.000003691,0.557767363,0.051527561,0.249497458,0.242443593
7.6087E-6,33.250596769,0.561422836,0.051117934,0.253210358,0.246487867
7.68222E-6,33.50059079,0.564901918,0.050713258,0.257490836,0.250106428
7.75796E-6,33.750676075,0.568457118,0.050312294,0.261345631,0.255640698
7.82927E-6,34.000051081,0.571778132,0.04991628,0.265626109,0.258833546
7.90234E-6,34.250236383,0.575153907,0.049522742,0.269007922,0.262026394
7.97983E-6,34.500312991,0.578705299,0.049132916,0.272697174,0.267986377
8.05141E-6,34.750456038,0.581959683,0.048746802,0.276433724,0.271392082
8.12661E-6,35.000377523,0.585351227,0.048364402,0.280525009,0.274159217
8.19519E-6,35.250159131,0.588419898,0.047985714,0.284450751,0.278629204
8.27087E-6,35.50055944,0.591780304,0.047609501,0.288423791,0.283524904
8.34165E-6,35.7506158,0.594898634,0.047237001,0.292562374,0.287782035
8.41288E-6,36.000265929,0.598012273,0.046868213,0.296630011,0.291826309
8.48622E-6,36.250354738,0.60119317,0.0465019,0.301076032,0.295657727
8.55839E-6,36.500010035,0.604298878,0.0461393,0.304765283,0.300766284
8.64042E-6,36.750258959,0.607799644,0.045779175,0.309093059,0.304597701
8.71142E-6,37.00009998,0.610804367,0.045422763,0.31330259,0.308641975
8.79909E-6,37.250525705,0.614483205,0.045068826,0.317606716,0.312260536
8.87152E-6,37.500582932,0.617496202,0.044718601,0.322029088,0.313963389
8.95947E-6,37.750174907,0.621122959,0.044372089,0.326546057,0.317156237
9.03106E-6,38.000222896,0.624049659,0.044028053,0.330992078,0.321200511
9.10604E-6,38.250499906,0.627091166,0.043686491,0.335461748,0.325670498
9.1823E-6,38.500149174,0.630158703,0.043348642,0.339600331,0.330140485
9.25685E-6,38.750011845,0.633133665,0.043013268,0.344070001,0.334397616
9.32552E-6,39.00091673,0.635852516,0.042679131,0.348516022,0.337590464
9.4074E-6,39.250024985,0.639068161,0.042349945,0.352630957,0.341209025
9.49208E-6,39.500364588,0.642363657,0.042021996,0.35676954,0.345891869
9.56383E-6,39.750049423,0.645132506,0.04169776,0.361073667,0.349936143
9.65018E-6,40.000798195,0.648436522,0.041374761,0.365377794,0.354618987
