Predictor variable,Categorical,Sample average
Var1,false,4.250800415093716
Var10,false,17.48713026046494
Var11,false,-9.179108986440419
Var12,false,586.3522762208821
Var13,false,84.26297741515904
Var14,false,24.803760198652004
Var15,false,47.080043803946786
Var16,false,224.1965235899255
Var17,false,86.19895944188247
Var18,false,199.43606479839187
Var19,false,106.85451105593
Var2,false,12.363683428740686
Var3,false,30.489570943916387
Var4,false,1091.0898368043077
Var5,false,25.559616554340884
Var6,false,-16.279841494965687
Var7,false,41.83945804490986
Var8,false,14.035909314553962
Var9,false,-3.223126405987645
