Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.7176E-6,15.000217315,0.306377813,0.037919542,0.081867589,0.076957295
7.91966E-6,15.250438246,0.31298969,0.037523529,0.084486166,0.079181495
8.13407E-6,15.500012248,0.319936627,0.037138653,0.086857708,0.079626335
8.35626E-6,15.750699894,0.327061586,0.03676244,0.08937747,0.082740214
8.57615E-6,16.000394704,0.334039181,0.036397365,0.091650198,0.084964413
8.77864E-6,16.250192676,0.340400979,0.036040953,0.094911067,0.087188612
8.99598E-6,16.500864348,0.347161437,0.035691966,0.097875494,0.088523132
9.20659E-6,16.7503455,0.353646477,0.035352879,0.101086957,0.089857651
9.42516E-6,17.000262174,0.36030859,0.035021218,0.103705534,0.09386121
9.63075E-6,17.250784616,0.366512095,0.034695744,0.106027668,0.095640569
9.83642E-6,17.500940044,0.372658186,0.034377696,0.108942688,0.098754448
1.00373E-5,17.750260673,0.378604653,0.034067072,0.111314229,0.100533808
1.02454E-5,18.000714806,0.384701587,0.033761399,0.114081028,0.102758007
1.0447E-5,18.250026527,0.390553349,0.033463152,0.117490119,0.104982206
1.06492E-5,18.501005063,0.396367403,0.033168616,0.120405138,0.107206406
1.08647E-5,18.750538792,0.402502186,0.032881507,0.1243083,0.109430605
1.10718E-5,19.000492958,0.40833987,0.032599347,0.127322134,0.112099644
1.12706E-5,19.25081488,0.413889142,0.032322137,0.13013834,0.115213523
1.14803E-5,19.501129606,0.419686159,0.032049878,0.133596838,0.118327402
1.17135E-5,19.750621591,0.426066016,0.031783806,0.136561265,0.123220641
1.18949E-5,20.000873573,0.430980511,0.031521447,0.14006917,0.125
1.20783E-5,20.250168864,0.435905792,0.031264038,0.143231225,0.127669039
1.22891E-5,20.50000244,0.441513726,0.031010342,0.146590909,0.129893238
1.25118E-5,20.750526862,0.447378461,0.030760359,0.14965415,0.133007117
1.27129E-5,21.000264881,0.452622044,0.030515325,0.15256917,0.135231317
1.29319E-5,21.250278849,0.458273904,0.030274004,0.155978261,0.137900356
1.31534E-5,21.500642593,0.463932114,0.030036396,0.15958498,0.141903915
1.33383E-5,21.750926287,0.468609929,0.029802501,0.163241107,0.145462633
1.35364E-5,22.000957174,0.473577274,0.029572318,0.166847826,0.149911032
1.3726E-5,22.250381378,0.478285456,0.029345847,0.170059289,0.153024911
1.39341E-5,22.500630306,0.483408089,0.029121852,0.173418972,0.15702847
1.41342E-5,22.750472057,0.488285351,0.02890157,0.176482213,0.160142349
1.43539E-5,23.001329364,0.49358584,0.028683762,0.180780632,0.163256228
1.45622E-5,23.251409922,0.49856196,0.028469667,0.184090909,0.167259786
1.47608E-5,23.500599921,0.503258722,0.028259285,0.188092885,0.169483986
1.49515E-5,23.750141812,0.507730243,0.028051378,0.191403162,0.171263345
1.51725E-5,24.000136327,0.512859236,0.027845946,0.195256917,0.172153025
1.53646E-5,24.250439078,0.517276056,0.027642989,0.199011858,0.175711744
1.55269E-5,24.500565637,0.520974043,0.027442507,0.202272727,0.179270463
1.57157E-5,24.750492466,0.525241754,0.0272445,0.205928854,0.183718861
1.59183E-5,25.000322442,0.529779493,0.027048968,0.209337945,0.18727758
1.61632E-5,25.250423161,0.535208532,0.026855912,0.213339921,0.191281139
1.63419E-5,25.500645068,0.539127289,0.02666533,0.216749012,0.195729537
1.652E-5,25.750251399,0.543001516,0.026477224,0.220256917,0.199288256
1.67024E-5,26.001108462,0.546936801,0.026290355,0.223666008,0.202402135
1.69144E-5,26.251527208,0.551467534,0.026105961,0.227371542,0.205516014
1.7113E-5,26.501694623,0.555669167,0.025924042,0.230632411,0.207295374
