Predictor variable,Categorical,Sample average
Var1,false,4.151931826799482
Var10,false,17.057731927699088
Var11,false,-8.835000084024179
Var12,false,621.9275876879911
Var13,false,102.2761333543457
Var14,false,19.627568220654535
Var15,false,56.65375688775569
Var16,false,271.3392415154858
Var17,false,68.7545570562915
Var18,false,214.2445066575201
Var19,false,102.08345307290364
Var2,false,10.85188333958883
Var3,false,31.02916442142099
Var4,false,1061.2132438077404
Var5,false,24.410185433798922
Var6,false,-15.19165163034048
Var7,false,39.6018370645833
Var8,false,14.0460183158184
Var9,false,-3.4999227772537402
